NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
NT_18654,18654,Stoney Dam,DAM,WATERBODY,HYDROLOGY,-19.3833,133.9667,NT,2024-03-01,POINT (133.966692 -19.383314),gazetted
NT_19684,19684,Whiterock Dam,DAM,WATERBODY,HYDROLOGY,-22.2667,134.2833,NT,2024-03-01,POINT (134.283292 -22.266714),gazetted
NT_19689,19689,Whitewood Dam,DAM,WATERBODY,HYDROLOGY,-22.1833,134.1833,NT,2024-03-01,POINT (134.183292 -22.183314),gazetted
NT_19292,19292,V Dam,DAM,WATERBODY,HYDROLOGY,-25.0857,132.7204,NT,2024-03-01,POINT (132.720392 -25.085714),gazetted
NT_19301,19301,Valley Dam,DAM,WATERBODY,HYDROLOGY,-23.7909,133.6911,NT,2024-03-01,POINT (133.691092 -23.790914),gazetted
NT_19647,19647,White Cliff Dam,DAM,WATERBODY,HYDROLOGY,-25.0306,132.4732,NT,2024-03-01,POINT (132.473192 -25.030614),gazetted
NT_19649,19649,White Dam,DAM,WATERBODY,HYDROLOGY,-23.3667,134.5167,NT,2024-03-01,POINT (134.516692 -23.366714),gazetted
NT_19650,19650,White Dam,DAM,WATERBODY,HYDROLOGY,-22.3333,132.6333,NT,2024-03-01,POINT (132.633292 -22.333314),gazetted
NT_19651,19651,White Dam,DAM,WATERBODY,HYDROLOGY,-19.2167,135.8667,NT,2024-03-01,POINT (135.866692 -19.216714),gazetted
NT_19656,19656,White Hill Dam,DAM,WATERBODY,HYDROLOGY,-23.1167,134.6667,NT,2024-03-01,POINT (134.666692 -23.116714),gazetted
NT_19661,19661,White Hole Dam,DAM,WATERBODY,HYDROLOGY,-19.3333,136.05,NT,2024-03-01,POINT (136.049992 -19.333314),gazetted
NT_19703,19703,Wilbla Dam,DAM,WATERBODY,HYDROLOGY,-25.1538,132.1531,NT,2024-03-01,POINT (132.153092 -25.153814),gazetted
NT_18715,18715,Sullivan Dam,DAM,WATERBODY,HYDROLOGY,-20.25,137.45,NT,2024-03-01,POINT (137.449992 -20.250014),gazetted
NT_19342,19342,W 1 Dam,DAM,WATERBODY,HYDROLOGY,-19.4,133.8667,NT,2024-03-01,POINT (133.866692 -19.400014),gazetted
NT_18406,18406,Skinnys Dam,DAM,WATERBODY,HYDROLOGY,-22.7,134.65,NT,2024-03-01,POINT (134.649992 -22.700014),gazetted
NT_18727,18727,Supplejack Dam,DAM,WATERBODY,HYDROLOGY,-23.5667,133.1833,NT,2024-03-01,POINT (133.183292 -23.566714),gazetted
NT_18737,18737,Surprise Dam,DAM,WATERBODY,HYDROLOGY,-24.8836,135.6813,NT,2024-03-01,POINT (135.681292 -24.883614),gazetted
NT_19343,19343,W 2 Dam,DAM,WATERBODY,HYDROLOGY,-19.4167,133.9,NT,2024-03-01,POINT (133.899992 -19.416714),gazetted
NT_19344,19344,W 3 Dam,DAM,WATERBODY,HYDROLOGY,-19.3667,133.8667,NT,2024-03-01,POINT (133.866692 -19.366714),gazetted
NT_19360,19360,Waggaridge Dams,DAM,WATERBODY,HYDROLOGY,-19.65,134.2667,NT,2024-03-01,POINT (134.266692 -19.650014),gazetted
NT_19361,19361,Wagon Claypan Dam,DAM,WATERBODY,HYDROLOGY,-25.6262,135.2313,NT,2024-03-01,POINT (135.231292 -25.626214),gazetted
NT_19367,19367,Wagrangara Dam,DAM,WATERBODY,HYDROLOGY,-23.4611,133.9156,NT,2024-03-01,POINT (133.915592 -23.461114),gazetted
NT_19380,19380,Waitera Dam,DAM,WATERBODY,HYDROLOGY,-25.1177,132.3365,NT,2024-03-01,POINT (132.336492 -25.117714),gazetted
NT_18425,18425,Small Dam,DAM,WATERBODY,HYDROLOGY,-23.2667,133.85,NT,2024-03-01,POINT (133.849992 -23.266714),gazetted
NT_18436,18436,Smoko Dam,DAM,WATERBODY,HYDROLOGY,-21.2993,137.5421,NT,2024-03-01,POINT (137.542092 -21.299314),gazetted
NT_18750,18750,Swanson Dam,DAM,WATERBODY,HYDROLOGY,-22.4262,137.9819,NT,2024-03-01,POINT (137.981892 -22.426214),gazetted
NT_18763,18763,T Dam,DAM,WATERBODY,HYDROLOGY,-25.1871,132.5442,NT,2024-03-01,POINT (132.544192 -25.187114),gazetted
NT_18772,18772,Table Hill Dam,DAM,WATERBODY,HYDROLOGY,-22.8333,134.65,NT,2024-03-01,POINT (134.649992 -22.833314),gazetted
NT_19041,19041,Tommys Gap Dam,DAM,WATERBODY,HYDROLOGY,-23.6167,134.65,NT,2024-03-01,POINT (134.649992 -23.616714),gazetted
NT_19045,19045,Tonys Dam,DAM,WATERBODY,HYDROLOGY,-25.3217,135.4235,NT,2024-03-01,POINT (135.423492 -25.321714),gazetted
NT_18452,18452,Snake Hole Dam,DAM,WATERBODY,HYDROLOGY,-23.5167,132.1167,NT,2024-03-01,POINT (132.116692 -23.516714),gazetted
NT_18465,18465,Soakage Dam,DAM,WATERBODY,HYDROLOGY,-22.1917,132.1874,NT,2024-03-01,POINT (132.187391 -22.191714),gazetted
NT_19414,19414,Wallaby Gap Dam,DAM,WATERBODY,HYDROLOGY,-23.9124,134.1627,NT,2024-03-01,POINT (134.162692 -23.912414),gazetted
NT_19434,19434,Walu,DAM,WATERBODY,HYDROLOGY,-24.75,129.4667,NT,2024-03-01,POINT (129.466691 -24.750014),gazetted
NT_18815,18815,Tarax Dam,DAM,WATERBODY,HYDROLOGY,-22.35,132.0667,NT,2024-03-01,POINT (132.066691 -22.350014),gazetted
NT_18837,18837,Taylors Claypan Dam,DAM,WATERBODY,HYDROLOGY,-25.6088,135.0817,NT,2024-03-01,POINT (135.081692 -25.608814),gazetted
NT_18849,18849,Technicolour Dam,DAM,WATERBODY,HYDROLOGY,-22.5167,134.6833,NT,2024-03-01,POINT (134.683292 -22.516714),gazetted
NT_18850,18850,Teds Dam,DAM,WATERBODY,HYDROLOGY,-25.1258,132.7508,NT,2024-03-01,POINT (132.750792 -25.125814),gazetted
NT_18851,18851,Teds Dam,DAM,WATERBODY,HYDROLOGY,-23.9333,134.85,NT,2024-03-01,POINT (134.849992 -23.933314),gazetted
NT_18520,18520,Spear Creek Dam,DAM,WATERBODY,HYDROLOGY,-17.2667,135.8833,NT,2024-03-01,POINT (135.883292 -17.266714),gazetted
NT_18527,18527,Spellesie Dam,DAM,WATERBODY,HYDROLOGY,-17.2667,136.0167,NT,2024-03-01,POINT (136.016692 -17.266714),gazetted
NT_18543,18543,Spinifex Dam,DAM,WATERBODY,HYDROLOGY,-21.1667,136.45,NT,2024-03-01,POINT (136.449992 -21.166714),gazetted
NT_18864,18864,Ten Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.9914,134.8913,NT,2024-03-01,POINT (134.891292 -25.991414),gazetted
NT_19134,19134,Turkey Dam,DAM,WATERBODY,HYDROLOGY,-19.1833,134.2333,NT,2024-03-01,POINT (134.233292 -19.183314),gazetted
NT_19135,19135,Turkey Flat Dam,DAM,WATERBODY,HYDROLOGY,-21.0167,134.6167,NT,2024-03-01,POINT (134.616692 -21.016714),gazetted
NT_19154,19154,Twelve Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.8833,133.9333,NT,2024-03-01,POINT (133.933292 -25.883314),gazetted
NT_19496,19496,Warrego Dam,DAM,WATERBODY,HYDROLOGY,-19.3833,133.8833,NT,2024-03-01,POINT (133.883292 -19.383314),gazetted
NT_18567,18567,Spring Creek Dam,DAM,WATERBODY,HYDROLOGY,-25.6833,133.6667,NT,2024-03-01,POINT (133.666692 -25.683314),gazetted
NT_18569,18569,Spring Dam,DAM,WATERBODY,HYDROLOGY,-22.3667,132.9333,NT,2024-03-01,POINT (132.933292 -22.366714),gazetted
NT_18888,18888,The Bank Dam,DAM,WATERBODY,HYDROLOGY,-25.6344,134.0243,NT,2024-03-01,POINT (134.024292 -25.634414),gazetted
NT_20100,20100,No 7a Dam,DAM,WATERBODY,HYDROLOGY,-17.8383,136.8911,NT,2024-03-01,POINT (136.891092 -17.838314),gazetted
NT_10103,10103,9 Mile Dam,DAM,WATERBODY,HYDROLOGY,-25.1466,132.5239,NT,2024-03-01,POINT (132.523892 -25.146614),gazetted
NT_10972,10972,Bloodwood Dam,DAM,WATERBODY,HYDROLOGY,-19.1667,134.2167,NT,2024-03-01,POINT (134.216692 -19.166714),gazetted
NT_10973,10973,Bloodwood Dam,DAM,WATERBODY,HYDROLOGY,-21.5048,137.7283,NT,2024-03-01,POINT (137.728292 -21.504814),gazetted
NT_11016,11016,Bob Jump Dam,DAM,WATERBODY,HYDROLOGY,-14.6436,133.6878,NT,2024-03-01,POINT (133.687791 -14.643614),gazetted
NT_11017,11017,Bobbies Hill Dam,DAM,WATERBODY,HYDROLOGY,-17.2667,135.8167,NT,2024-03-01,POINT (135.816692 -17.266714),gazetted
NT_10356,10356,Anira Dam,DAM,WATERBODY,HYDROLOGY,-22.35,134.3333,NT,2024-03-01,POINT (134.333292 -22.350014),gazetted
