NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,WKT,STATUS
TAS_11462S,11462S,Bradys Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.46787,147.88187,TAS,2025-12-14,POINT (147.88187 -42.46787),gazetted
TAS_17669S,17669S,Braemar Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.49887,147.47512,TAS,2025-12-14,POINT (147.47512 -41.49887),gazetted
TAS_2507R,2507R,Brampton Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.49165,146.07453,TAS,2025-12-14,POINT (146.07453 -41.49165),gazetted
TAS_1448K,1448K,Branchs Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.22101,146.66022,TAS,2025-12-14,POINT (146.66022 -41.22101),gazetted
TAS_19126H,19126H,Brands Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.34467,146.72702,TAS,2025-12-14,POINT (146.72702 -41.34467),gazetted
TAS_17730R,17730R,Brandum Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.82787,146.66383,TAS,2025-12-14,POINT (146.66383 -41.82787),gazetted
TAS_1431N,1431N,Brandy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.19475,146.7938,TAS,2025-12-14,POINT (146.7938 -41.19475),gazetted
TAS_12888A,12888A,Brandy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-40.4235,144.94695,TAS,2025-12-14,POINT (144.94695 -40.4235),gazetted
TAS_17511Q,17511Q,Brandy Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.09278,145.44265,TAS,2025-12-14,POINT (145.44265 -41.09278),gazetted
TAS_8498R,8498R,Brannan Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.189,147.83278,TAS,2025-12-14,POINT (147.83278 -41.189),gazetted
TAS_8499T,8499T,Branxholm Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.15271,147.75396,TAS,2025-12-14,POINT (147.75396 -41.15271),gazetted
TAS_12703P,12703P,Break O'Day River,WATERCOURSE,WATERWAY,HYDROLOGY,-41.58736,148.02482,TAS,2025-12-14,POINT (148.02482 -41.58736),gazetted
TAS_8699N,8699N,Break Yoke Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.132,148.26036,TAS,2025-12-14,POINT (148.26036 -41.132),gazetted
TAS_5590B,5590B,Breakneck Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.98837,147.96922,TAS,2025-12-14,POINT (147.96922 -41.98837),gazetted
TAS_22891B,22891B,Breakneck Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.63913,145.18983,TAS,2025-12-14,POINT (145.18983 -41.63913),gazetted
TAS_3512E,3512E,Breakspeare Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.46494,146.19273,TAS,2025-12-14,POINT (146.19273 -43.46494),gazetted
TAS_3285Q,3285Q,Bream Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.7596,147.85614,TAS,2025-12-14,POINT (147.85614 -42.7596),gazetted
TAS_11463W,11463W,Bresnehans Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.47766,147.90867,TAS,2025-12-14,POINT (147.90867 -42.47766),gazetted
TAS_1340G,1340G,Breton Rivulet,WATERCOURSE,WATERWAY,HYDROLOGY,-41.77706,146.77919,TAS,2025-12-14,POINT (146.77919 -41.77706),gazetted
TAS_5231W,5231W,Brewers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.03957,147.41419,TAS,2025-12-14,POINT (147.41419 -41.03957),gazetted
TAS_5995B,5995B,Brewery Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.63688,145.90851,TAS,2025-12-14,POINT (145.90851 -41.63688),gazetted
TAS_19875W,19875W,Briarly Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.53063,147.18751,TAS,2025-12-14,POINT (147.18751 -41.53063),gazetted
TAS_4901E,4901E,Brid River,WATERCOURSE,WATERWAY,HYDROLOGY,-41.19228,147.46947,TAS,2025-12-14,POINT (147.46947 -41.19228),gazetted
TAS_5324H,5324H,Bridge Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.40058,148.09128,TAS,2025-12-14,POINT (148.09128 -41.40058),gazetted
TAS_3759J,3759J,Bridge Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.91608,145.22964,TAS,2025-12-14,POINT (145.22964 -41.91608),gazetted
TAS_9437F,9437F,Briers Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.82435,147.01526,TAS,2025-12-14,POINT (147.01526 -42.82435),gazetted
TAS_9438H,9438H,Briery Brook,WATERCOURSE,WATERWAY,HYDROLOGY,-42.95639,147.0287,TAS,2025-12-14,POINT (147.0287 -42.95639),gazetted
TAS_19164X,19164X,Briggs Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.16794,146.67678,TAS,2025-12-14,POINT (146.67678 -41.16794),gazetted
TAS_8195G,8195G,Briggs Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.41498,145.42027,TAS,2025-12-14,POINT (145.42027 -42.41498),gazetted
TAS_1745G,1745G,Brilliant Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.40921,148.10983,TAS,2025-12-14,POINT (148.10983 -41.40921),gazetted
TAS_14993P,14993P,Brineys Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-42.70335,146.81962,TAS,2025-12-14,POINT (146.81962 -42.70335),gazetted
TAS_8500P,8500P,Britannia Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.21576,147.83582,TAS,2025-12-14,POINT (147.83582 -41.21576),gazetted
TAS_19165A,19165A,British Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-41.04727,146.88756,TAS,2025-12-14,POINT (146.88756 -41.04727),gazetted
TAS_10289G,10289G,Brittains Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-43.245,147.19348,TAS,2025-12-14,POINT (147.19348 -43.245),gazetted
TAS_5761H,5761H,Broad Creek,WATERCOURSE,WATERWAY,HYDROLOGY,-40.97228,148.26878,TAS,2025-12-14,POINT (148.26878 -40.97228),gazetted
